Scale_setup.started,Scale_setup.stopped,participant,expid,session,sex,age,date,expName,psychopyVersion,OS,frameRate,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,546.5035,2.0,546.5036,,,,549.417,549.9163,548.9105,549.4169,547.5093,35.0,548.9104,549.9163,550.4157,550.4158,551.838,1171.5,551.838,2.0,552.8368,2.0,26.0,86.0,18.0,1.0,1.4,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,552.8371,2.0,552.8372,,,,555.1471,555.6464,554.6463,555.147,553.8415,192.0,554.6463,555.6464,556.1459,556.1459,557.0963,714.2,557.0964,2.0,558.0953,2.0,27.0,87.0,15.0,1.0,0.8,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,558.0955,2.0,558.0957,,,,560.8141,561.3121,560.3088,560.8141,559.1014,140.0,560.3088,561.3121,561.8116,561.8117,563.2775,1208.0,563.2777,3.0,564.2764,2.0,28.0,88.0,2.0,1.0,1.2,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,564.2767,2.0,564.2767,,,,566.5938,567.093,566.0873,566.5937,565.2829,44.0,566.0872,567.093,567.5924,567.5924,568.8649,1008.7,568.8649,4.0,569.8609,2.0,29.0,89.0,10.0,1.0,0.8,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,569.8613,3.0,571.6021,s,1.7273,,574.5161,575.0151,574.0097,574.516,572.6083,174.0,574.0096,575.0151,575.5147,575.5147,576.8781,1339.7,576.8783,3.0,577.8735,3.0,0.0,90.0,3.0,1.0,1.4,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,577.8738,3.0,577.875,,,,580.1908,580.69,579.6844,580.1907,578.8796,357.0,579.6843,580.69,581.1895,581.1896,582.081,879.1,582.0811,4.0,583.0764,3.0,1.0,91.0,5.0,1.0,0.8,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,583.0767,3.0,583.0768,,,,585.9902,586.4895,585.4839,585.9902,584.0825,216.0,585.4838,586.4895,586.989,586.989,588.2128,1202.4,588.2129,2.0,589.209,3.0,2.0,92.0,28.0,1.0,1.4,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,589.2093,3.0,589.2094,,,,592.1228,592.6221,591.6165,592.1228,590.2151,217.0,591.6164,592.6221,593.1216,593.1217,594.6158,1481.1,594.6159,4.0,595.612,3.0,3.0,93.0,13.0,1.0,1.4,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,595.6122,3.0,595.6124,,,,598.1304,598.6297,597.6241,598.1304,596.6182,244.0,597.624,598.6297,599.1293,599.1293,600.4319,942.9,600.4321,2.0,601.4324,3.0,4.0,94.0,21.0,1.0,1.0,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,601.4326,3.0,601.4328,,,,603.744,604.2419,603.2397,603.7439,602.4371,95.0,603.2396,604.242,604.7414,604.7415,605.6976,943.1,605.6977,4.0,606.6977,3.0,5.0,95.0,10.0,1.0,0.8,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,606.6979,3.0,606.6981,,,,609.8129,610.3121,609.3064,609.8128,607.7028,20.0,609.3063,610.3121,610.8114,610.8114,612.3309,1489.6,612.331,2.0,613.3298,3.0,6.0,96.0,24.0,1.0,1.6,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,613.3301,3.0,613.3302,,,,616.2436,616.7429,615.7372,616.2435,614.3359,24.0,615.7371,616.7429,617.2424,617.2424,618.5084,1252.7,618.5086,2.0,619.5039,3.0,7.0,97.0,8.0,1.0,1.4,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,619.5041,3.0,619.5042,,,,622.618,623.1159,622.1117,622.6179,620.51,287.0,622.1116,623.116,623.6154,623.6154,625.0361,1385.1,625.0363,2.0,626.0318,3.0,8.0,98.0,29.0,1.0,1.6,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,626.0319,3.0,626.032,,,,628.7517,629.2507,628.2502,628.7516,627.0379,108.0,628.2502,629.2507,629.7502,629.7502,630.8308,1068.0,630.8309,2.0,631.8314,3.0,9.0,99.0,27.0,1.0,1.2,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,631.8317,3.0,631.8318,,,,634.1486,634.6479,633.6422,634.1485,632.8375,240.0,633.6421,634.6479,635.1474,635.1474,636.8543,1366.9,636.8545,5.0,637.8527,3.0,10.0,100.0,0.0,1.0,0.8,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,637.853,3.0,637.853,,,,640.7668,641.2661,640.2604,640.7668,638.8589,11.0,640.2603,641.2661,641.7655,641.7655,642.9726,1189.3,642.9727,2.0,643.9716,3.0,11.0,101.0,18.0,1.0,1.4,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,643.9719,3.0,643.972,,,,646.4899,646.9892,645.9836,646.4898,644.9777,7.0,645.9836,646.9892,647.4888,647.4888,648.7444,1240.6,648.7444,4.0,649.7435,3.0,12.0,102.0,11.0,1.0,1.0,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,649.7437,3.0,649.7439,,,,652.8584,653.3577,652.352,652.8583,650.7495,87.0,652.3518,653.3577,653.8618,653.8618,655.2061,1328.6,655.2062,2.0,656.2021,3.0,13.0,103.0,9.0,1.0,1.6,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,656.2023,3.0,656.2024,,,,658.7167,659.2126,658.2141,658.7165,657.2082,50.0,658.214,659.2126,659.7122,659.7122,660.7127,987.4,660.7128,3.0,661.7102,3.0,14.0,104.0,1.0,1.0,1.0,0.3,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,661.7105,3.0,661.7106,,,,664.2201,664.7209,663.7184,664.2201,662.7162,13.0,663.7183,664.7209,665.2204,665.2205,666.476,1242.6,666.4762,4.0,667.4752,3.0,15.0,105.0,26.0,1.0,1.0,0.7,Time
,,S05,169207,1,Male,29,anonymized,Serial_Dependence_U,2023.2.3,Win32,144.9275362,,,,,,,,,,,,667.4754,3.0,667.4755,,,,669.9933,670.4926,669.487,669.9933,668.4814,198.0,669.4868,670.4927,670.9922,670.9922,671.9496,916.0,671.9496,2.0,672.9485,3.0,16.0,106.0,6.0,1.0,1.0,0.7,Time
